id,label
0h-zjBukYpk_1,-0.4
0h-zjBukYpk_2,-2.8
0h-zjBukYpk_3,-0.2
0h-zjBukYpk_4,-1.4
0h-zjBukYpk_5,0.8
0h-zjBukYpk_6,-1.4
0h-zjBukYpk_7,1.8
0h-zjBukYpk_8,0.8
0h-zjBukYpk_9,-1.0
0h-zjBukYpk_10,-0.6
0h-zjBukYpk_11,0.4
0h-zjBukYpk_12,-0.8
0h-zjBukYpk_13,1.25
0h-zjBukYpk_14,1.4
0h-zjBukYpk_15,0.0
0h-zjBukYpk_16,0.6
0h-zjBukYpk_17,0.2
0h-zjBukYpk_18,-2.0
0h-zjBukYpk_19,-0.4
0h-zjBukYpk_20,0.6
0h-zjBukYpk_21,2.0
0h-zjBukYpk_22,1.8
0h-zjBukYpk_23,2.6
0h-zjBukYpk_24,2.6
0h-zjBukYpk_25,2.2
1DmNV9C1hbY_1,-2.0
1DmNV9C1hbY_2,1.6
1DmNV9C1hbY_3,1.0
1DmNV9C1hbY_4,2.0
1DmNV9C1hbY_5,-1.8
1DmNV9C1hbY_6,-1.6
1DmNV9C1hbY_7,-1.6
1DmNV9C1hbY_8,-1.8
1DmNV9C1hbY_9,2.2
1DmNV9C1hbY_10,2.6
1DmNV9C1hbY_11,-1.8
1DmNV9C1hbY_12,0.4
1DmNV9C1hbY_13,-1.25
1DmNV9C1hbY_14,-2.0
1iG0909rllw_1,-0.4
1iG0909rllw_2,-1.75
1iG0909rllw_3,2.0
1iG0909rllw_4,-1.2
1iG0909rllw_5,2.2
1iG0909rllw_6,1.6
1iG0909rllw_7,-0.6
1iG0909rllw_8,-2.4
1iG0909rllw_9,-0.2
1iG0909rllw_10,0.6
1iG0909rllw_11,2.2
1iG0909rllw_12,1.6
1iG0909rllw_13,1.4
1iG0909rllw_14,-0.2
1iG0909rllw_15,-1.4
1iG0909rllw_16,-1.4
1iG0909rllw_17,-1.4
1iG0909rllw_18,-1.8
1iG0909rllw_19,-1.0
1iG0909rllw_20,0.4
1iG0909rllw_21,-0.4
1iG0909rllw_22,-0.2
1iG0909rllw_23,1.8
1iG0909rllw_24,-1.0
1iG0909rllw_25,2.0
1iG0909rllw_26,-0.6
1iG0909rllw_27,1.8
1iG0909rllw_28,1.2
1iG0909rllw_29,-1.4
1iG0909rllw_30,-1.6
2WGyTLYerpo_1,2.0
2WGyTLYerpo_2,0.4
2WGyTLYerpo_3,0.0
2WGyTLYerpo_4,-0.4
2WGyTLYerpo_5,0.0
2WGyTLYerpo_6,2.4
2WGyTLYerpo_7,1.6
2WGyTLYerpo_8,1.8
2WGyTLYerpo_9,-0.4
2WGyTLYerpo_10,0.8
2WGyTLYerpo_11,2.2
2WGyTLYerpo_12,1.2
2WGyTLYerpo_13,2.0
2WGyTLYerpo_14,0.2
2WGyTLYerpo_15,0.5
2WGyTLYerpo_16,2.0
2WGyTLYerpo_17,2.6
2WGyTLYerpo_18,2.2
2WGyTLYerpo_19,1.4
2WGyTLYerpo_20,1.0
2WGyTLYerpo_21,0.8
2WGyTLYerpo_22,-0.8
2WGyTLYerpo_23,0.0
2WGyTLYerpo_24,1.6
2WGyTLYerpo_25,1.8
2WGyTLYerpo_26,1.8
2WGyTLYerpo_27,1.8
2WGyTLYerpo_28,2.4
2WGyTLYerpo_29,0.6
2WGyTLYerpo_30,-0.2
2WGyTLYerpo_31,2.0
2WGyTLYerpo_32,2.2
2WGyTLYerpo_33,1.2
2WGyTLYerpo_34,0.6
2WGyTLYerpo_35,2.2
2WGyTLYerpo_36,1.2
2WGyTLYerpo_37,1.4
2WGyTLYerpo_38,1.0
2WGyTLYerpo_39,-0.6
2WGyTLYerpo_40,0.6
2WGyTLYerpo_41,0.6
2WGyTLYerpo_42,0.0
2WGyTLYerpo_43,2.0
2WGyTLYerpo_44,0.2
2WGyTLYerpo_45,0.2
2WGyTLYerpo_46,1.4
2WGyTLYerpo_47,0.0
2WGyTLYerpo_48,-1.0
2WGyTLYerpo_49,-0.6
2WGyTLYerpo_50,-1.8
2WGyTLYerpo_51,-0.6
2WGyTLYerpo_52,0.0
2WGyTLYerpo_53,-1.0
2WGyTLYerpo_54,-2.0
2WGyTLYerpo_55,-1.0
2WGyTLYerpo_56,-0.4
2WGyTLYerpo_57,-1.6
2WGyTLYerpo_58,-1.4
2WGyTLYerpo_59,2.0
2WGyTLYerpo_60,2.2
2WGyTLYerpo_61,1.4
2WGyTLYerpo_62,2.2
2WGyTLYerpo_63,2.2
2iD-tVS8NPw_1,-0.5
2iD-tVS8NPw_2,2.2
2iD-tVS8NPw_3,1.4
2iD-tVS8NPw_4,2.2
2iD-tVS8NPw_5,2.0
2iD-tVS8NPw_6,2.0
2iD-tVS8NPw_7,2.4
2iD-tVS8NPw_8,1.8
2iD-tVS8NPw_9,1.4
2iD-tVS8NPw_10,2.2
2iD-tVS8NPw_11,0.2
2iD-tVS8NPw_12,1.2
2iD-tVS8NPw_13,2.2
2iD-tVS8NPw_14,-1.0
2iD-tVS8NPw_15,-1.5
2iD-tVS8NPw_16,-1.6
2iD-tVS8NPw_17,-0.6
2iD-tVS8NPw_18,0.333333333333
2iD-tVS8NPw_19,0.0
2iD-tVS8NPw_20,0.8
2iD-tVS8NPw_21,1.0
2iD-tVS8NPw_22,2.2
2iD-tVS8NPw_23,0.2
2iD-tVS8NPw_24,-1.0
2iD-tVS8NPw_25,-0.8
2iD-tVS8NPw_26,0.0
